,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
159,1389250,36,33,5030663,63670,0,5,1,2
160,355422,20,29,4969902,80861,1,1,0,1
161,278448,13,23,4952763,10216,0,7,1,2
162,490826,10,47,4975766,3793,0,3,0,2
163,794462,29,35,4995505,60416,0,6,1,2
164,477782,14,14,4929711,56707,0,1,0,2
165,1320832,24,10,5017275,41697,1,8,1,2
166,842373,40,9,4996233,37779,0,9,0,2
167,4505,0,18,5118165,74295,0,3,1,1
168,1376286,40,22,5018151,33818,1,8,0,2
169,1441073,30,26,5049266,59429,1,4,1,1
170,143008,20,27,5030219,29433,1,7,0,2
171,565691,1,45,5012563,22764,0,1,1,1
172,82247,33,45,5004282,65835,1,8,0,2
173,285090,27,30,5041305,44350,2,0,1,1
174,529677,22,30,4919663,68494,2,5,0,1
175,854452,0,36,5082130,59741,0,0,1,1
176,400100,26,24,5009376,89369,2,3,0,0
177,1210847,31,0,4949767,13974,0,6,1,2
178,225103,24,42,5134065,72409,2,8,0,1
179,516499,28,0,5020364,52496,0,1,1,2
180,1249130,44,2,5031110,73629,0,9,0,2
181,639420,13,38,4946145,70532,0,0,1,1
182,748187,18,39,4877418,1094,1,3,0,2
183,414713,36,45,5025778,65183,2,9,1,1
184,1424869,16,44,4968044,10929,0,4,0,2
185,1426750,12,40,5046807,6753,0,1,1,1
186,1007749,17,21,5003996,704,2,2,0,2
187,604540,8,25,5037425,42304,2,3,1,1
188,1065807,4,19,4959413,23656,1,2,0,1
189,1075221,31,42,4907598,62425,1,7,1,2
190,609770,7,30,4970209,16411,2,0,0,1
191,567293,28,28,5009807,69827,2,5,1,1
192,322942,13,33,4999449,11002,0,6,0,2
193,1364436,15,48,4940035,52405,0,0,1,1
194,817963,45,31,4975791,70729,2,7,0,1
195,1488597,44,18,4967872,44697,1,4,1,2
196,973602,44,38,4996126,42146,2,0,0,1
197,70642,15,33,5033359,19193,1,0,1,1
198,1172228,5,31,5029902,81605,0,9,0,2
199,1255722,47,18,4998352,47967,2,9,1,2
200,781010,23,3,4998940,11361,2,6,0,2
201,6231,45,38,5086620,73003,1,4,1,2
202,907477,8,30,4994183,16965,0,6,0,2
203,549462,27,10,5021018,8460,2,5,1,2
204,128864,17,24,5069592,58190,1,9,0,2
205,740355,38,35,4930919,37341,0,4,1,2
206,1023753,26,4,5010854,14537,1,8,0,2
207,725141,2,47,4964594,21916,0,5,1,2
208,1358318,4,49,5027134,61270,0,9,0,2
209,509992,44,20,5004065,83210,2,7,1,1
210,1375259,21,37,4948829,31930,1,7,0,2
211,1411968,31,5,4961121,58536,1,2,1,1
212,1193511,39,29,5002625,49922,0,7,0,2
213,783948,3,16,5035905,83755,0,1,1,1
214,922061,0,16,5001538,12652,0,0,0,1
215,905486,36,2,4945438,25615,1,2,1,2
216,1224968,33,2,5033485,48758,2,8,0,2
217,665351,33,35,5031960,1437,0,1,1,2
218,1380622,25,9,4921286,77369,1,9,0,2
219,1140726,15,29,5027917,37183,0,0,1,1
220,428153,40,0,4901884,51925,0,9,0,2
221,351739,9,41,4971997,65078,0,0,1,1
222,440409,49,14,4997338,58433,1,7,0,2
223,847069,10,34,4949896,42176,0,4,1,2
224,882471,7,13,4966354,5352,0,0,0,1
225,453724,6,46,4972438,19834,2,1,1,1
226,162284,10,17,5015873,53898,0,9,0,2
227,485125,0,2,4951579,19424,1,8,1,2
228,36676,42,24,4918483,34993,1,8,0,2
229,68553,41,38,4999123,21931,0,6,1,2
230,1142054,11,32,4935409,41872,2,6,0,1
231,208248,14,49,4946857,78725,1,2,1,1
232,750638,44,12,4973503,7636,0,3,0,2
233,461720,0,7,5037808,77655,1,9,1,1
234,687556,10,40,4963958,27834,0,3,0,2
235,1178660,20,23,4952203,86118,0,9,1,2
236,34547,13,31,5057543,87346,2,3,0,0
237,724725,47,33,5000762,78035,0,4,1,2
238,806400,8,32,5069997,42353,1,5,0,2
239,1235330,32,15,5008801,22441,1,8,1,2
240,546476,22,24,5054861,47481,2,7,0,1
241,1139282,10,45,4994738,35178,0,4,1,2
242,145101,1,6,5028092,25754,2,6,0,2
243,728948,13,5,5059706,71101,2,2,1,0
244,574139,32,46,4905699,62219,2,2,0,1
245,1375020,42,44,5013979,74581,2,8,1,1
246,1191564,44,22,5015420,23977,1,2,0,2
247,114639,14,17,5053678,28891,0,2,1,2
248,1230826,12,35,5019416,83390,1,8,0,1
249,1442211,9,31,4991745,2358,1,6,1,2
250,756716,9,48,5000139,52046,2,7,0,1
251,1273636,10,2,5089504,7236,0,6,1,2
252,1441971,33,48,5032233,87509,2,5,0,0
253,1266793,11,20,5013730,89946,1,8,1,1
254,655602,26,36,4955584,32614,2,0,0,1
255,1128861,24,2,5048267,56717,1,2,1,1
256,408909,2,41,5094921,21407,0,9,0,2
257,1210582,0,47,5019153,70864,0,0,1,1
258,934568,47,30,5006653,82472,2,1,0,1
259,861671,8,12,5026938,75427,1,1,1,0
260,1390670,45,36,4954562,66052,1,6,0,2
261,850266,12,23,5012390,35770,2,7,1,1
262,1325147,5,26,5008587,49391,0,0,0,1
263,11833,32,37,4969925,74994,1,5,1,1
264,524821,20,23,5020658,71686,2,5,0,1
265,1351737,25,17,5031237,56363,2,6,1,1
266,1339787,0,47,5102755,9929,1,6,0,2
267,1112296,23,34,4915382,39528,0,0,1,1
268,1480415,0,33,5036156,60327,2,7,0,1
269,220900,16,34,4975976,7901,1,0,1,1
270,594817,32,49,4986828,35753,2,5,0,2
271,232322,3,16,5040929,9674,2,9,1,2
272,1028485,29,27,4928438,69838,2,3,0,1
273,537311,16,31,5058326,86463,0,1,1,1
274,1312973,14,30,4960118,69459,2,3,0,0
275,66986,6,31,4974148,74515,2,3,1,0
276,379434,22,48,5065569,9810,2,4,0,2
277,1369368,17,4,5092596,80738,2,3,1,0
278,1168641,17,25,4937909,55834,1,1,0,1
279,1173315,37,28,4931187,8327,2,1,1,2
280,853196,38,15,5000078,54506,1,2,0,2
281,485815,43,2,4981849,68379,0,4,1,2
282,1499918,33,16,5027546,20680,2,5,0,2
283,1213314,6,16,5082671,51977,1,5,1,1
284,1001926,24,30,4985159,74539,1,9,0,2
285,238138,47,18,5049243,40040,0,1,1,2
286,788371,6,37,5009068,26178,0,1,0,2
287,1376884,0,43,5007990,23371,1,8,1,1
288,1373966,10,14,5042765,22080,0,0,0,1
289,375706,5,2,5044834,13293,1,3,1,1
290,478716,39,20,4933649,23252,0,6,0,2
291,940025,24,2,5014186,66167,0,1,1,2
292,477178,42,20,4955609,20538,0,0,0,2
293,1120901,1,36,4969665,57958,2,6,1,0
294,199701,5,20,4934376,55,1,0,0,2
295,446628,33,9,5073536,38077,2,9,1,2
296,581022,47,41,4959391,42564,1,1,0,2
297,920650,47,39,4953217,34743,2,2,1,1
298,1008579,43,38,4950192,49672,2,0,0,1
299,1503210,23,15,5054210,28474,2,3,1,1
300,1161483,40,20,5004374,47619,1,7,0,2
301,1137380,38,1,4991491,6122,2,1,1,2
302,3260,1,9,5029516,39440,1,8,0,2
303,988761,32,7,5001761,40052,1,7,1,2
304,773145,44,37,4913549,36839,1,3,0,2
305,1178857,18,20,5072615,65900,1,1,1,1
306,1279651,42,5,5055238,35998,2,4,0,2
307,690988,16,4,5054658,48421,1,4,1,1
308,121733,17,12,5037816,24311,0,8,0,2
309,106242,25,46,5050935,39355,0,4,1,2
310,910494,8,6,5033904,9555,2,0,0,1
311,504204,1,14,5057248,20767,2,3,1,1
312,1051289,22,6,4980680,69592,1,8,0,2
313,510505,31,36,5005964,1232,2,1,1,2
314,211735,40,4,5042919,15247,2,4,0,2
315,714144,10,36,5059934,25396,1,5,1,1
316,391562,12,3,5069881,45788,1,0,0,1
317,259893,21,11,5027811,43174,2,5,1,1
318,187028,37,29,5030939,75014,0,1,0,2
319,685840,30,24,4984882,18729,1,0,1,1
320,404479,4,4,5062274,47438,0,8,0,2
321,164621,6,22,5074952,28052,2,0,1,1
322,507244,31,49,4951132,84210,2,2,0,0
323,1376140,27,0,4993395,82695,1,6,1,1
324,458483,1,8,4997504,47489,0,3,0,2
325,213542,43,13,5021139,62771,1,3,1,2
326,1056378,46,41,4995208,78591,2,9,0,1
327,1257603,46,21,4995203,69082,2,6,1,1
328,1139825,13,22,4945215,57077,0,0,0,2
329,589862,26,29,4870423,84665,0,8,1,2
330,1419477,33,8,5044066,69211,0,9,0,2
331,156178,43,46,5018258,89023,0,6,1,2
332,928835,13,20,5027717,9882,0,8,0,2
333,778781,6,18,4975324,14433,1,3,1,1
334,1224649,34,2,5017058,82249,0,9,0,2
335,218290,1,47,4980070,39996,2,8,1,1
336,1484372,40,6,5013747,16380,1,2,0,2
337,358625,39,10,4990222,13154,0,9,1,2
338,1106129,43,30,4921394,37485,0,6,0,2
339,1281729,1,48,4995814,64698,2,8,1,0
340,118306,11,46,4901634,66696,2,0,0,0
341,932110,8,44,5038772,70513,1,4,1,1
342,1067036,45,28,5001889,39167,0,7,0,2
343,1109023,21,2,4989575,5944,2,5,1,2
344,455528,26,25,5032678,42578,1,8,0,2
345,401571,12,2,4928910,74608,1,9,1,1
346,585241,3,1,4941205,88258,0,7,0,2
347,1060723,30,44,5044348,22325,0,2,1,2
348,27931,14,5,4936412,55401,1,3,0,1
349,288687,47,19,4924125,46059,2,1,1,1
350,1200447,2,45,5006200,75614,0,9,0,2
351,771374,13,17,4905145,3179,2,0,1,1
352,565998,34,13,4869453,14145,2,0,0,2
353,477472,1,30,4916077,65323,2,8,1,0
354,1347035,33,30,5058069,78119,1,7,0,2
355,864426,12,32,4983970,20029,2,0,1,1
356,364533,41,3,5008915,89654,0,5,0,2
357,661961,5,5,4980694,4964,2,4,1,1
358,1062289,38,7,4922777,28358,2,4,0,2
359,83220,2,25,4968493,33592,1,9,1,2
360,1197020,16,38,5032239,14027,2,6,0,2
361,109555,27,8,4971091,54184,2,8,1,1
362,726863,36,38,4902463,37220,2,7,0,2
363,891340,0,19,5069208,73676,0,8,1,2
364,661965,8,8,5088190,18658,2,2,0,1
365,433451,8,17,5083221,79273,0,1,1,1
366,965141,36,11,4970180,38646,2,6,0,2
367,816719,5,47,4954375,60506,1,4,1,1
368,19508,42,6,5018258,61694,2,6,0,2
369,398566,39,45,4988774,45801,1,0,1,1
370,421538,45,28,5028807,35095,2,1,0,2
371,249932,3,28,5005419,450,2,1,1,1
372,26245,23,0,5045921,33070,2,2,0,1
373,339800,4,14,4963161,36031,0,8,1,2
374,376768,43,47,5025644,70896,2,2,0,1
375,1035663,18,44,4968046,8578,2,9,1,2
376,1108332,12,48,5038307,73055,1,4,0,1
377,563181,10,0,5004371,1214,2,8,1,2
378,1078824,22,44,5019344,72622,0,2,0,2
379,1002195,47,46,4993275,22491,1,5,1,2
380,516513,34,8,5042663,3809,1,4,0,2
381,42540,38,22,5012722,37219,1,4,1,2
382,919100,0,1,5033458,31205,2,3,0,1
383,1356913,23,14,5073758,2078,2,3,1,2
384,1359085,35,48,4912144,25263,1,0,0,2
385,193361,21,35,4950921,21733,1,5,1,2
386,58876,37,2,5000740,81791,2,9,0,1
387,222756,46,21,4966547,34730,2,9,1,2
388,570335,40,31,4967615,58481,2,3,0,1
389,328775,30,8,5009186,79323,0,5,1,2
390,1121420,13,34,4963497,25097,0,2,0,2
391,966391,4,10,4957014,57410,0,9,1,2
392,302786,34,30,5007822,2571,0,6,0,2
393,503238,21,36,5100924,29556,0,1,1,2
394,876745,34,23,5016267,46811,2,5,0,1
395,1249364,42,41,4940950,47756,1,9,1,2
396,725391,36,46,4980248,81466,2,3,0,1
397,1121641,29,45,5067818,60058,2,6,1,1
398,879088,44,27,5000774,74334,2,6,0,1
399,444111,28,43,4964129,6499,1,8,1,2
400,570506,7,6,4974532,72825,0,6,0,2
401,1069289,18,17,4939553,59095,0,4,1,2
402,1066196,7,0,5026020,69409,1,2,0,1
403,694010,46,28,5064993,27500,1,3,1,2
404,1301081,29,11,5006539,18536,1,1,0,2
405,1151756,42,2,4970440,36755,2,8,1,2
406,180717,27,9,4966276,61406,1,9,0,2
407,1057614,48,14,5071952,16807,1,1,1,2
408,1121805,19,22,4938650,37780,1,4,0,2
409,785042,11,44,4977896,74650,1,5,1,1
410,187252,12,24,5001884,32060,1,9,0,2
411,840167,11,42,4910682,74897,2,4,1,0
412,814027,8,49,5037262,22976,1,4,0,2
413,1185096,20,49,4936670,41878,2,0,1,0
414,1216391,39,16,5079334,77563,1,4,0,2
415,12876,0,33,5096542,79832,2,1,1,0
416,1360081,34,31,4989918,15909,1,3,0,2
417,601704,47,0,4990069,35626,0,9,1,2
418,1439001,36,5,4964789,9550,0,7,0,2
419,1221546,38,44,5054660,44823,1,0,1,1
420,211263,36,2,5037915,21507,1,1,0,2
421,1085087,12,46,5030234,38903,1,6,1,1
422,1445859,45,21,4987333,75050,0,8,0,2
423,1010837,18,6,4960540,254,0,3,1,2
424,850621,32,11,4914300,61379,1,7,0,2
425,1209310,24,49,4957646,61887,0,2,1,2
426,932781,35,12,4989163,22046,2,9,0,2
427,897156,20,19,5020782,33629,2,5,1,1
428,1451895,47,15,4989547,67402,0,6,0,2
429,1028605,31,36,5003489,321,0,8,1,2
430,339233,30,6,5047447,29331,1,9,0,2
431,1434114,49,25,5005859,41821,0,3,1,2
432,363682,31,22,4964520,41804,0,6,0,2
433,351594,12,8,5034298,43918,0,5,1,2
434,1140011,23,47,5026781,41666,0,7,0,2
435,324124,5,9,5081248,19308,0,4,1,2
436,795658,13,32,4911555,34836,1,8,0,2
437,366213,9,38,5015213,50569,0,8,1,2
438,249019,22,22,5045164,64872,0,7,0,2
439,251511,10,47,4932772,33256,1,9,1,2
440,22544,1,31,4977995,42867,1,3,0,1
441,1006214,1,36,5025825,14202,1,2,1,1
442,947487,15,35,4985273,67454,1,6,0,1
443,998835,15,29,4987082,63675,2,4,1,0
444,711577,29,7,4999154,57841,2,7,0,1
445,1178515,0,15,4958948,59127,2,8,1,0
446,1195991,12,15,4982874,37678,0,8,0,2
447,334841,6,17,4922239,5053,0,9,1,2
448,173829,18,1,4920501,6210,1,0,0,2
449,999458,47,28,4971483,41090,2,7,1,2
450,1188326,26,47,4989403,27121,1,1,0,2
451,846536,29,6,5026194,74550,2,5,1,0
452,215927,21,42,5042800,61190,0,6,0,2
453,1435096,32,22,5012258,83087,0,1,1,2
454,5280,29,31,5038761,36491,2,1,0,1
455,466192,29,1,5013631,87548,1,1,1,1
456,878369,18,40,4974238,57577,1,1,0,1
457,1367414,9,45,4901203,65103,1,2,1,1
458,961360,17,44,5132305,2498,2,4,0,2
459,849258,47,47,5038880,79715,1,5,1,2
460,57171,0,8,4959756,21706,1,9,0,2
461,1132013,29,38,5062463,19123,1,3,1,2
462,416080,15,27,5110328,26365,2,9,0,2
463,1471326,43,35,4992052,53622,2,4,1,1
464,822422,11,42,4945710,64449,2,2,0,0
465,731701,8,5,5001673,31210,2,4,1,1
466,984070,38,31,5038278,38784,0,7,0,2
467,26875,4,33,5032972,48440,0,2,1,1
468,182097,7,28,5082605,76757,0,6,0,2
469,985542,0,18,5014394,75279,0,4,1,1
470,678578,44,34,5036368,59042,0,1,0,2
471,764377,28,1,4979689,225,0,2,1,2
472,1334378,25,6,4910695,88346,1,2,0,1
473,592858,23,37,4974501,40896,2,2,1,1
474,583779,19,39,5049047,86008,1,7,0,2
475,613682,24,5,5035626,31126,2,9,1,2
476,398388,31,33,5064161,55344,2,6,0,1
477,1144044,23,25,4893895,89223,1,3,1,1
478,726122,42,17,4977780,31937,0,3,0,2
479,450548,15,23,4957731,36927,2,2,1,1
480,1058961,35,40,5020380,75926,2,5,0,1
481,1211616,47,47,5015921,88978,2,5,1,0
482,343256,48,11,5003962,55132,1,1,0,2
483,324444,16,2,4937054,65645,2,0,1,0
484,1497739,14,46,5034967,20280,1,0,0,1
485,405143,15,24,5034029,1511,1,8,1,2
486,363770,12,6,4993115,86633,2,2,0,0
487,1308836,7,25,4978762,68907,0,9,1,2
488,909184,24,27,5019194,32644,0,3,0,2
489,857560,30,19,4990745,45544,1,3,1,1
490,724057,46,21,4937569,86876,2,1,0,0
491,266287,4,38,4972429,77768,0,7,1,2
492,360898,33,9,4917402,25021,0,9,0,2
493,320671,3,7,4981670,62920,0,3,1,1
494,999147,39,16,4970279,35940,0,1,0,2
495,560565,32,0,4894974,17090,1,6,1,2
496,249660,35,5,4881943,6687,0,8,0,2
497,709430,3,45,5059540,67437,0,0,1,1
498,548923,34,44,4999513,67352,1,9,0,2
499,643255,46,7,4983027,24972,2,7,1,2
500,931076,6,22,4965908,11379,2,9,0,2
501,715448,48,34,4991809,74485,0,8,1,2
502,1388741,0,3,4992863,2521,0,0,0,1
503,578224,49,36,5006252,5145,2,9,1,2
504,957479,42,12,4949881,64983,0,1,0,2
505,230580,0,31,5035117,48373,0,3,1,1
506,359759,17,44,5001530,10895,2,1,0,2
507,522168,16,23,5029470,28488,2,2,1,1
508,1249881,20,31,4981266,50647,1,2,0,1
509,1298937,31,6,5020869,1701,2,6,1,2
510,1027328,15,15,4966859,41485,1,5,0,2
511,1087828,28,19,4968268,77764,1,8,1,1
512,312701,42,29,5073031,78600,1,7,0,2
513,51666,14,28,4950136,32632,0,5,1,2
514,1253306,22,17,4952616,25962,2,5,0,2
515,86177,35,11,4892257,8223,1,6,1,2
516,1131832,3,22,4906911,33510,2,5,0,1
517,422527,41,29,5003088,52366,1,7,1,2
518,459692,10,17,4989432,71394,2,8,0,1
519,31141,15,8,4914555,65892,0,8,1,2
520,879163,14,2,4949723,29114,1,2,0,1
521,734614,34,5,5040542,39397,2,8,1,2
522,778030,40,10,4954343,51580,0,9,0,2
523,491188,45,41,5071636,53480,1,1,1,1
524,1068620,10,6,4959986,53186,2,7,0,1
525,1050189,17,9,5020766,41394,0,2,1,1
526,192340,34,13,4985167,39323,2,8,0,2
527,129570,40,27,5000550,75331,2,2,1,0
528,1352710,21,46,5097020,74919,1,2,0,1
529,233357,15,3,4957938,82661,0,7,1,2
530,1444270,9,42,5056109,26757,2,9,0,2
531,1414466,2,47,5081322,84695,2,4,1,0
532,1179128,49,3,4971581,66876,2,6,0,1
533,417802,25,16,5013954,65697,2,0,1,0
534,146427,6,13,5046040,82625,0,8,0,2
535,846180,23,19,5034541,21846,1,6,1,2
536,1003552,11,17,4968956,19736,1,7,0,2
537,1236285,27,4,5057529,75847,0,5,1,2
538,470485,42,14,4910735,48858,0,5,0,2
539,41497,37,14,5021228,17556,2,4,1,2
540,614140,0,47,4941368,35127,1,7,0,2
541,1187398,3,10,5099364,51322,2,0,1,0
542,98500,25,5,5065871,36924,0,5,0,2
543,1090941,49,23,5009371,15619,1,3,1,2
544,766009,41,4,5069622,65509,0,7,0,2
545,1032142,28,26,5072034,35183,2,3,1,1
546,889611,4,42,5064752,27938,0,4,0,2
547,445237,4,16,4967128,71223,1,5,1,1
548,288899,25,14,5057618,4326,2,7,0,2
549,1291772,23,37,5016737,15712,1,2,1,1
550,923421,9,34,5051328,67446,2,4,0,0
551,848868,41,31,5123406,55279,2,9,1,1
552,580334,0,9,5067229,3995,1,1,0,1
553,589463,5,17,5042326,64765,1,1,1,1
554,1274140,39,31,4976449,85405,0,1,0,2
555,267908,46,0,4877887,4360,0,7,1,2
556,340099,29,22,5046090,76345,0,2,0,2
557,1179482,40,14,4944076,26686,2,4,1,2
558,1162307,47,20,5074922,76109,2,7,0,1
559,1251895,3,10,5055083,84251,2,6,1,0
560,431950,21,8,5129326,10619,2,2,0,2
561,994890,11,2,4932615,2400,1,6,1,2
562,1199905,0,44,4954061,21485,0,5,0,2
563,1404891,41,35,4899503,966,1,9,1,2
564,579393,38,46,4995561,6002,2,6,0,2
565,1403383,32,40,4978535,27227,0,5,1,2
566,269156,28,3,5003250,87460,1,9,0,2
567,1309443,37,13,5027008,4478,1,0,1,2
568,224865,7,1,4932314,62077,0,9,0,2
569,1021834,49,17,4977735,82561,1,9,1,2
