,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
94,1205555,4,3,5031541,27822,1,5,0,2
95,1059820,4,22,5020826,8668,2,3,1,1
96,1219774,30,28,5016533,75177,0,6,0,2
97,411006,0,4,4957403,33909,2,0,1,0
98,737509,34,3,4975569,12964,1,1,0,2
99,794605,39,3,5011065,72968,2,7,1,1
100,472392,19,40,4980690,84780,2,9,0,1
101,90550,1,26,5018739,9020,2,8,1,2
102,187661,7,46,4955032,29831,1,2,0,1
103,262565,45,27,4960846,52131,2,9,1,2
104,72611,3,30,4981105,58682,1,0,0,1
105,688622,16,23,5045022,52590,0,6,1,2
106,1221806,41,31,5069259,39972,1,2,0,2
107,531164,4,40,5055432,35651,1,1,1,1
108,751374,23,7,5088116,58701,0,0,0,2
109,1109988,11,14,4993329,26115,2,6,1,1
110,521704,27,39,4919542,19643,2,7,0,2
111,1079292,25,28,5001395,84980,2,7,1,0
112,1437944,49,28,4958932,62984,0,3,0,2
113,1092898,33,31,4967276,36173,0,1,1,2
114,946052,31,3,4938919,41638,0,6,0,2
115,273588,26,36,4938521,73500,0,6,1,2
116,95723,29,13,5016153,50620,1,2,0,2
117,1284386,21,36,4959637,2230,2,4,1,2
118,18468,13,40,4958197,75962,2,2,0,0
119,682700,4,7,4996342,63030,0,2,1,1
120,543983,32,38,4970541,64385,2,4,0,1
121,1423826,36,17,5052550,39218,1,6,1,2
122,1003271,43,29,5139434,85155,2,1,0,0
123,727051,25,42,5063733,6603,0,5,1,2
124,1012624,23,13,5051691,43922,0,9,0,2
125,725735,39,13,4980779,12672,1,3,1,2
126,25909,14,34,4981518,42413,2,9,0,2
127,1372559,40,48,4973601,34137,0,4,1,2
128,1112826,37,32,4987530,16286,2,6,0,2
129,218997,21,46,4954318,59131,0,5,1,2
130,1431718,34,29,5098188,48264,0,2,0,2
131,1055580,3,17,5018171,30538,1,0,1,1
132,406072,38,47,5047148,15480,0,3,0,2
133,1393689,24,11,4953551,38823,2,1,1,1
134,479790,12,42,4998286,59603,1,1,0,1
135,548855,35,22,4984642,10945,1,5,1,2
136,601409,42,13,4983077,36288,1,2,0,2
137,1392232,21,23,5000862,16877,1,8,1,2
138,1274180,24,47,5028881,18382,2,8,0,2
139,1281323,38,29,5026660,56394,2,8,1,1
140,1161730,38,14,5070740,22022,2,5,0,2
141,687617,29,16,4976847,24304,1,8,1,2
142,517067,3,38,5018058,54333,2,8,0,1
143,222681,21,32,4987973,22989,2,1,1,1
144,728081,5,11,4931411,54180,1,1,0,1
145,992338,18,7,5034662,54154,2,5,1,1
146,759458,41,18,4975404,13789,1,7,0,2
147,1114582,21,18,5035110,77194,1,4,1,1
148,218132,26,42,4983310,85160,1,9,0,2
149,553425,7,9,4919016,57642,1,2,1,1
150,409504,21,47,4957936,60885,2,1,0,1
151,994795,13,46,5048755,69242,1,4,1,1
152,603581,29,9,5035830,4173,1,3,0,2
153,204821,18,0,5015950,83131,0,1,1,2
154,1003768,33,20,5058386,35126,2,1,0,1
155,648126,42,17,4965833,3135,1,0,1,2
156,218161,4,45,5092049,29708,1,2,0,1
157,1004317,20,39,5040618,14750,1,3,1,2
158,660054,35,46,5034560,76313,2,3,0,1
159,679165,32,15,5016148,77658,0,2,1,2
160,486668,25,34,5031658,75088,0,4,0,2
161,627620,38,0,5047147,27931,0,6,1,2
162,444333,45,17,5027220,2828,2,4,0,2
163,715423,33,17,4960542,35780,0,8,1,2
164,1281305,29,5,5006644,1989,0,1,0,2
165,679101,45,4,4952038,86371,1,7,1,2
166,721122,45,26,4878902,46976,1,0,0,2
167,163503,10,22,4973759,49686,2,9,1,1
168,713337,13,25,4893940,87602,1,2,0,1
169,451151,16,45,5053069,63442,0,5,1,2
170,62038,44,27,4992215,47186,0,7,0,2
171,1073021,28,25,4969450,26862,0,7,1,2
172,572649,9,40,4932581,29165,0,6,0,2
173,454524,1,26,5018442,68435,2,9,1,0
174,1202691,14,23,4937116,78722,1,8,0,1
175,879960,24,14,5080498,44867,2,6,1,1
176,661098,4,8,5020658,71222,0,5,0,2
177,718960,36,6,5064293,70498,1,2,1,1
178,455697,13,6,5047495,5539,2,3,0,2
179,6222,16,44,5053897,1513,2,5,1,2
180,281706,45,8,5038697,45318,2,9,0,2
181,472920,10,26,4936033,68615,2,9,1,1
182,603320,14,8,5006028,88313,2,2,0,0
183,175140,38,39,4899060,68390,2,1,1,0
184,977544,20,44,5019411,60166,0,6,0,2
185,1089629,27,12,5000597,74544,1,0,1,1
186,496420,28,49,5107707,17542,0,8,0,2
187,660305,1,28,4928313,89440,1,1,1,0
188,1037875,37,29,4990648,41874,2,0,0,1
189,607359,21,31,4975362,52442,0,5,1,2
190,1134770,16,12,4978331,56009,0,7,0,2
191,1059820,25,45,4989672,20642,2,1,1,1
192,985766,27,22,5011768,22488,0,0,0,2
193,1311220,28,12,4999235,58603,0,8,1,2
194,519943,19,21,5056023,4399,2,0,0,2
195,48446,32,7,4915707,49248,0,2,1,2
196,664879,48,24,5071180,19738,2,9,0,2
197,652258,37,19,5081347,66694,1,7,1,2
198,1315220,29,1,5132315,32425,0,1,0,2
199,491421,20,46,4941985,46888,2,1,1,1
200,1389545,37,32,5122102,66813,2,0,0,0
201,763921,35,46,5039974,29541,0,7,1,2
202,871700,35,10,5043422,56727,2,8,0,2
203,1301233,36,42,4980204,64056,0,8,1,2
204,1279897,28,17,4991002,50108,0,5,0,2
205,528654,15,22,5113957,34123,2,2,1,1
206,1254359,33,34,5015892,87594,1,6,0,2
207,105502,29,19,5025377,80232,1,5,1,1
208,1402127,25,5,4950476,76786,0,4,0,2
209,998111,47,19,4978852,17784,2,9,1,2
210,1312173,19,23,4997429,4090,1,2,0,2
211,1312814,39,26,5026599,30176,1,5,1,2
212,165803,46,7,5012742,33685,1,2,0,2
213,554762,35,6,4987640,29841,0,8,1,2
214,757179,10,35,4985194,63201,1,7,0,2
215,825761,27,41,4994223,39636,1,4,1,2
216,1500929,40,42,5015658,86843,2,7,0,1
217,1428367,28,21,5036614,10114,1,1,1,1
218,1433942,42,4,5001514,45993,2,2,0,1
219,176574,17,42,5027256,45069,0,9,1,2
220,319295,13,45,5165677,62403,1,6,0,2
221,146852,43,2,4996554,52035,0,4,1,2
222,891214,19,32,5075144,54547,0,0,0,2
223,893871,46,22,5032619,47224,2,3,1,1
224,1010054,32,34,4977123,10372,2,0,0,2
225,191898,49,4,5022256,69061,0,7,1,2
226,1244664,11,34,4981852,3325,2,1,0,1
227,725274,42,28,4960850,26048,0,3,1,2
228,872187,49,38,4922356,88145,1,8,0,2
229,1092544,42,48,4973707,81614,1,5,1,1
230,984996,9,29,5003826,31979,0,1,0,2
231,198850,41,45,5065634,75149,1,9,1,2
232,1035587,27,39,4984596,1380,2,8,0,2
233,683868,36,17,4930171,78388,1,6,1,1
234,842052,43,36,5070467,14267,1,4,0,2
235,1047410,21,6,5052643,41489,2,7,1,1
236,723628,1,19,4902591,26974,2,8,0,2
237,199633,34,43,4993283,61004,0,6,1,2
238,843508,36,25,4957761,19874,2,3,0,2
239,1428678,44,39,5004232,38295,1,4,1,2
240,1452803,16,5,4968574,79484,2,2,0,0
241,201467,30,32,5034139,20470,0,3,1,2
242,997075,1,48,5013635,70475,2,2,0,0
243,1050575,35,35,5026729,19033,1,0,1,1
244,649525,33,39,5055946,76092,1,7,0,2
245,1348183,25,46,4905506,65674,1,9,1,2
246,1497158,49,38,5021207,78591,1,3,0,2
247,346079,26,30,4903562,77904,0,5,1,2
248,1187029,32,41,5016767,79392,0,1,0,2
249,437031,14,11,4985565,74608,1,8,1,1
250,1220553,20,29,5011188,76778,2,0,0,0
251,539375,15,13,5070097,40717,2,0,1,0
252,796979,34,25,5003670,76135,1,8,0,2
253,1062347,16,49,5002787,84926,1,8,1,1
254,1502911,14,45,5061078,89596,2,9,0,0
255,282657,3,35,4982050,85981,1,7,1,1
256,1474066,25,5,5028796,87620,2,5,0,0
257,1456728,17,44,4978916,20908,2,2,1,1
258,1384363,26,21,4993873,15986,1,6,0,2
259,1182374,49,21,5010794,23603,0,5,1,2
260,217462,36,36,5042366,28888,0,2,0,2
261,1152768,3,11,5064289,70323,2,4,1,0
262,220145,49,43,4966909,40870,0,1,0,2
263,1157876,16,1,4914250,46030,1,1,1,1
264,1483672,19,34,4995268,17335,0,3,0,2
265,1131133,17,13,4966547,57326,1,4,1,1
266,916987,17,9,5015106,55217,0,7,0,2
267,656553,10,24,5070807,2120,0,6,1,2
268,353829,26,34,5006449,20237,0,7,0,2
269,596379,21,34,4965044,24746,1,9,1,2
270,926879,34,15,5016336,54567,1,3,0,2
271,1324837,15,48,4908806,47233,0,8,1,2
272,481334,13,23,4970977,57041,2,6,0,1
273,160880,27,31,5064814,14494,0,3,1,2
274,425569,5,23,5064117,37255,0,3,0,2
275,1203767,3,26,5071206,16949,0,1,1,1
276,1124779,4,34,5004491,57629,2,7,0,1
277,977013,5,43,5058566,3625,0,8,1,2
278,1214909,17,3,4995461,58245,0,4,0,2
279,87926,7,42,4962095,18083,1,1,1,1
280,360122,8,12,5000724,82768,1,9,0,2
281,815007,40,13,4928525,69512,0,6,1,2
282,27852,15,28,4924476,17716,0,7,0,2
283,1429337,29,12,4996464,35138,2,6,1,1
284,4139,17,9,5036847,36313,0,4,0,2
285,1167238,47,16,4966188,1316,0,8,1,2
286,119168,31,26,4910356,32886,0,5,0,2
287,1052390,1,45,5020074,26818,2,0,1,0
288,1031862,41,3,5072722,56836,0,9,0,2
289,489661,35,8,5073830,22814,1,6,1,2
290,1082373,28,5,4975579,81374,1,2,0,1
291,440114,21,44,4988367,6090,1,9,1,2
292,1331353,37,48,4943386,36537,1,0,0,2
293,690385,22,11,4989924,7583,0,6,1,2
294,191541,28,26,4991685,19948,1,7,0,2
295,740074,34,22,4973906,22246,1,4,1,2
296,882863,14,19,4980853,35480,0,6,0,2
297,248765,40,18,4996700,83457,2,7,1,1
298,726174,19,39,4988757,66620,2,0,0,0
299,1426086,27,22,5011761,846,0,0,1,1
300,1347366,32,19,4980405,47704,0,8,0,2
301,1027284,27,37,4921211,38582,2,4,1,1
302,1423945,16,43,4979913,84204,0,3,0,2
303,1128177,12,16,4897393,26825,1,6,1,1
304,1051750,16,37,5005366,71794,2,1,0,0
305,80853,8,33,5005801,32848,1,8,1,2
306,920643,28,36,5011407,16509,1,9,0,2
307,886626,8,33,4996996,20547,2,8,1,1
308,601231,0,15,4960281,27943,2,6,0,1
309,680778,28,35,4922601,15750,2,2,1,1
310,1197550,2,2,5027512,61439,0,2,0,2
311,213777,3,48,5040562,57892,1,2,1,1
312,530637,49,34,5002556,1576,0,4,0,2
313,364551,39,48,4952445,65228,1,6,1,2
314,446663,30,22,4974997,34269,0,4,0,2
315,469191,16,48,5051690,35836,1,1,1,1
316,483938,31,27,5076815,50258,0,1,0,2
317,1045823,36,6,5040712,16822,1,7,1,2
318,960309,21,45,4952560,74203,2,4,0,0
319,144739,25,2,5026349,7954,1,7,1,2
320,1113126,35,13,5044633,65691,1,7,0,2
321,999086,16,28,4986399,17307,0,5,1,2
322,906824,19,14,5037395,50364,1,9,0,2
323,528049,22,27,5019235,42528,2,8,1,1
324,704514,33,47,5077780,2633,2,5,0,2
325,1249226,21,40,5015188,16888,1,1,1,1
326,1187119,34,49,5009620,88696,0,0,0,2
327,734489,0,19,5051862,70263,1,2,1,0
328,959402,22,34,4959581,32426,2,2,0,1
329,189411,14,12,4985567,59168,2,2,1,0
330,1029783,24,44,4995931,66922,2,9,0,1
331,1474776,34,23,4999363,49597,2,3,1,1
332,419381,44,40,5061722,62418,1,0,0,2
333,495769,8,20,4892247,50508,1,5,1,1
334,1113799,32,0,4940883,51472,1,0,0,1
335,697163,20,43,5025548,66004,0,0,1,1
336,159094,0,37,4918958,5118,1,6,0,2
337,607513,24,42,4996697,88011,1,4,1,1
338,144098,37,18,5004821,73163,0,1,0,2
339,1414487,47,49,4988542,38199,1,3,1,2
340,1398641,25,49,4991071,5730,1,1,0,2
341,644343,49,2,5047582,2172,2,2,1,2
342,648961,6,40,4929079,53192,2,9,0,1
343,1290683,42,1,5046812,37503,1,4,1,2
344,1297803,33,39,5029983,26779,2,3,0,2
345,56849,28,7,5012120,75954,1,8,1,2
346,275602,42,19,5004395,89995,1,1,0,1
347,590010,22,40,4871630,71806,1,4,1,1
348,774603,32,5,4989303,11089,2,7,0,2
349,863371,45,2,5123772,64809,1,1,1,1
350,566483,43,44,4953311,74474,1,7,0,2
351,1283663,34,37,4960597,67171,0,1,1,2
352,71442,31,18,4891937,33134,0,1,0,2
353,1065996,35,28,4926909,60709,0,1,1,2
354,846025,37,33,5091189,83245,2,4,0,1
355,179882,47,11,5007671,57441,2,8,1,2
356,1491160,22,30,5045807,14027,1,6,0,2
357,427936,32,45,5033960,45484,2,4,1,1
358,1355958,40,11,5017732,24592,0,7,0,2
359,105653,10,47,4907142,64306,2,2,1,0
360,36953,13,28,5040698,72707,2,3,0,0
361,1439733,4,15,5034491,18847,1,6,1,1
362,1348569,29,23,5033656,27098,0,2,0,2
363,176194,1,39,4960660,66666,2,6,1,0
364,1115259,47,40,4979931,81036,2,3,0,1
365,591799,41,38,5002584,9531,1,1,1,2
366,1405765,33,8,4891468,89758,2,1,0,0
367,663300,31,2,5023749,68419,1,9,1,2
368,152050,41,27,5084297,89245,0,0,0,2
369,809845,19,3,4947840,77161,0,1,1,1
370,389719,30,10,5010368,1431,0,1,0,2
371,1194619,36,37,5056550,71082,0,9,1,2
372,538629,34,10,5022888,55854,0,8,0,2
373,531622,19,26,4952820,78851,2,6,1,0
374,1159301,36,25,5017313,13811,2,7,0,2
375,291687,40,4,5018381,78138,1,8,1,2
376,259664,48,13,4981151,29250,0,3,0,2
377,520385,21,20,4937899,59976,1,1,1,1
378,512208,9,18,5073794,4267,1,3,0,2
379,154466,16,10,5060339,65300,2,5,1,1
380,651676,2,4,5015097,7280,2,1,0,1
381,1336100,25,4,5004261,2570,2,5,1,2
382,1413540,47,26,4909056,1720,2,6,0,2
383,653128,26,8,5016609,66612,1,2,1,1
384,223464,10,4,5015774,81008,1,0,0,1
385,1258674,24,49,5051635,52034,0,5,1,2
386,804136,34,5,5027171,74686,1,6,0,2
387,138290,7,11,5038009,9883,2,0,1,1
388,810894,19,37,5037038,62234,0,8,0,2
389,459571,22,2,5011693,39203,2,7,1,1
390,1435527,44,32,4950727,50775,1,4,0,2
391,954109,44,46,4963784,55574,0,4,1,2
392,1424716,9,35,5147313,69364,1,2,0,1
393,1284263,8,8,4957485,69102,1,2,1,0
394,564160,18,39,4951147,33763,2,2,0,1
395,1460424,45,16,5037345,23607,0,4,1,2
396,137435,11,27,5019388,27320,2,8,0,2
397,693668,27,43,5051785,73,0,8,1,2
398,375040,36,3,4973124,30311,0,3,0,2
399,1483723,0,37,4961730,32770,1,5,1,1
400,183100,6,35,5073079,2989,0,1,0,2
401,508452,6,44,4952030,22997,0,7,1,2
402,1319996,16,24,5054174,16516,1,8,0,2
403,31605,27,11,5045514,36220,2,0,1,1
404,795368,26,14,5048379,22742,2,6,0,2
405,462998,29,24,5055538,25699,0,5,1,2
406,761832,8,40,5059382,36020,1,6,0,2
407,485717,23,44,4998191,76577,0,5,1,2
408,1328669,39,2,4941684,74768,1,9,0,2
409,20792,24,35,4927964,48,1,4,1,2
410,287942,22,18,4973192,85917,1,6,0,2
411,351556,29,40,5035295,72560,0,7,1,2
412,155364,32,3,4957233,86982,2,2,0,0
413,751524,30,6,4993241,6164,1,6,1,2
414,244662,47,19,5113437,37362,0,6,0,2
415,1180545,16,35,5001425,53562,0,7,1,2
416,255994,34,41,5019372,10999,0,2,0,2
417,955646,4,11,4972749,29111,2,8,1,1
418,446829,16,39,5034599,29004,1,4,0,2
419,160883,38,46,5056944,37369,0,4,1,2
420,1019081,21,45,4996782,32596,0,3,0,2
421,753280,37,5,4946171,45617,0,8,1,2
422,1319019,0,12,5045205,31380,0,8,0,2
423,24126,42,23,4995225,1763,1,3,1,2
424,523258,8,35,4976298,6458,0,6,0,2
425,574319,36,8,4942876,14160,2,7,1,2
426,179571,11,12,5123417,41589,1,0,0,1
427,607234,43,5,5021259,83735,2,2,1,0
428,219613,48,27,5010322,59787,2,4,0,1
429,1470386,23,45,4994434,61844,0,2,1,2
430,813655,9,6,4939395,66582,1,4,0,1
431,573021,19,25,5031062,10227,2,2,1,1
432,1367487,32,31,4936983,22508,0,5,0,2
433,828060,3,38,4997811,61738,1,8,1,1
434,1447297,3,37,4961822,38499,1,6,0,1
435,194234,1,49,4975149,87740,2,6,1,0
436,1078386,27,31,5015862,61377,1,5,0,2
437,165036,24,22,4978310,9326,1,4,1,2
438,1189233,21,31,4979171,85971,0,9,0,2
439,1418148,44,27,5055562,7357,1,5,1,2
440,1383707,48,15,5043205,63002,0,7,0,2
441,1091661,22,3,5002075,50762,2,2,1,0
442,918378,4,27,4988279,63553,2,8,0,1
443,234855,8,17,5013666,3089,1,7,1,2
444,1268696,32,37,5037858,52449,2,9,0,2
445,1271565,0,45,5138195,2968,2,2,1,1
446,70150,43,25,5011170,17764,0,8,0,2
447,558735,0,5,5002458,74178,2,3,1,0
448,317684,44,5,5011156,15518,1,9,0,2
449,1325508,16,45,4950604,23876,0,9,1,2
450,1264511,37,38,4975673,16057,0,0,0,2
451,1264396,15,9,4981772,56519,0,3,1,2
452,820177,13,10,4978983,50514,2,5,0,1
453,232832,46,38,5044770,37973,0,1,1,2
454,815904,18,46,4985569,75075,1,8,0,2
455,358456,42,13,4955864,81776,0,5,1,2
456,1001234,10,49,4952180,62051,0,2,0,2
457,1273755,10,11,4921084,21980,1,5,1,1
458,807179,20,34,4957896,43051,1,2,0,1
459,154982,16,21,4938978,40919,0,0,1,1
460,475898,21,23,5007662,82535,2,9,0,1
461,1122624,21,26,5010639,29326,2,7,1,1
462,1368444,43,48,5023990,6358,2,0,0,2
463,154334,0,44,4922788,34871,0,0,1,1
464,946098,29,17,5065767,74918,2,1,0,0
465,248042,34,29,5006385,67382,2,8,1,1
466,918002,4,0,4924977,2086,2,9,0,2
467,799233,10,20,4975171,65474,0,5,1,2
468,559555,10,16,4991732,11511,2,5,0,2
469,549077,0,31,5021585,55077,0,7,1,2
470,226629,16,15,4928127,89357,2,7,0,0
471,218491,33,48,5024923,82738,0,1,1,2
472,417714,10,15,5041033,71858,1,4,0,1
473,471827,3,24,5053625,35485,0,0,1,1
474,627383,11,33,4996885,10083,0,2,0,2
475,657761,39,36,4993634,61218,1,3,1,1
476,287437,21,0,5040368,57902,1,7,0,2
477,993471,1,2,5013271,4816,0,8,1,2
478,1330236,7,31,5038423,62172,2,6,0,1
479,476884,22,24,4991004,24586,0,1,1,2
480,310467,18,0,4931111,1581,1,3,0,2
481,774749,40,19,4991464,1191,1,8,1,2
482,151827,5,33,4988138,54404,0,3,0,2
483,1264674,37,30,4992165,8436,2,5,1,2
484,482888,24,42,4976085,12072,0,8,0,2
485,977371,48,35,5095488,62332,2,4,1,1
486,1466117,48,32,4976222,34350,0,3,0,2
487,1074958,7,30,4923719,39525,2,7,1,1
488,884004,40,38,4933472,17584,1,9,0,2
489,1381601,37,5,5006032,80688,0,3,1,2
490,675446,23,38,4942489,8435,1,9,0,2
491,1017877,8,10,5015952,36272,1,0,1,1
492,1166993,0,15,5027665,87622,1,8,0,1
493,1446112,41,31,4953467,40795,1,2,1,1
494,1309427,13,17,4966499,74901,2,4,0,0
495,129848,48,1,4922050,83176,2,0,1,0
496,204394,30,9,5088623,62766,1,6,0,2
497,1255200,0,30,4959161,76751,1,7,1,1
498,900067,29,16,5027005,6487,0,5,0,2
499,740022,14,2,5038072,30906,2,8,1,1
500,1299538,12,8,4963420,89701,0,7,0,2
501,1289702,11,12,5094686,5138,2,2,1,1
502,1163471,26,45,5049621,72024,1,4,0,1
503,142538,34,27,5024296,40381,1,8,1,2
504,688546,29,7,4929635,44504,2,8,0,2
505,121731,32,0,4930410,7220,2,7,1,2
506,486559,46,4,5081170,14760,2,9,0,2
507,1311202,3,13,4969953,30620,0,8,1,2
508,837761,17,34,5020584,59345,0,4,0,2
509,360800,17,37,4948926,19934,2,0,1,1
510,1203426,12,41,5085258,63312,1,0,0,1
511,1074550,41,23,5018268,27423,2,2,1,1
512,930884,48,29,5053911,62980,1,0,0,2
513,1370436,16,1,5158847,4243,2,6,1,2
514,744756,44,1,4971784,56562,2,1,0,1
515,270450,13,17,5000561,54835,0,3,1,2
516,1035569,30,20,4979698,60682,2,8,0,1
517,1352720,30,45,5056702,88818,1,5,1,1
518,1291417,3,23,5014416,62099,1,5,0,1
519,1384381,1,25,5029402,37568,0,5,1,1
520,849507,28,4,4979178,44262,1,7,0,2
521,510789,37,47,4919795,71843,1,4,1,1
522,1011349,11,25,5004862,77004,2,2,0,0
523,1271255,43,37,4965769,24547,0,5,1,2
524,872378,8,45,5028625,88901,0,6,0,2
525,572356,12,17,5017106,33999,0,7,1,2
526,677969,19,29,4989346,6418,1,4,0,2
527,1074370,41,4,5038885,38681,0,0,1,2
528,894435,36,7,5050552,77968,1,0,0,1
529,1214948,38,36,4968932,1381,1,2,1,2
530,401827,36,28,4975958,30665,2,4,0,2
531,1510573,45,28,5091328,10481,2,9,1,2
532,898304,32,7,5033366,2535,1,4,0,2
533,1453162,9,7,4956013,21586,0,5,1,2
534,100485,3,23,4980931,81705,2,7,0,0
535,169004,7,5,4990085,72004,2,2,1,0
536,432380,6,30,4992005,36733,2,4,0,1
537,707649,17,19,5021949,20659,0,1,1,1
538,1309439,13,36,4903530,30741,2,6,0,1
539,223186,18,14,5114621,34690,1,5,1,2
540,681351,2,35,5101197,59937,2,0,0,0
541,1045662,36,49,4972167,46093,2,1,1,1
542,396091,15,18,5097211,71792,2,3,0,0
543,388602,16,34,5054256,72278,0,4,1,2
544,1361465,44,7,4994370,76538,0,9,0,2
545,979864,37,35,5017633,23228,2,2,1,1
546,262415,14,19,4924019,2863,1,5,0,2
547,1313380,20,5,5013647,64701,0,8,1,2
548,27496,32,30,5020348,87281,0,9,0,2
549,538164,42,5,4993396,27376,1,6,1,2
550,1221723,44,43,5020129,76752,1,7,0,2
551,370987,13,39,5110200,51388,0,5,1,2
552,441296,25,28,4979578,79780,1,0,0,1
553,130387,0,16,5016580,8586,2,3,1,1
554,741415,27,34,5052564,49591,1,7,0,2
555,78626,47,3,4964512,45962,1,1,1,2
556,512216,14,42,4986083,22925,1,1,0,2
557,940833,40,3,5021734,71084,1,6,1,2
558,95917,27,1,5004045,62580,1,5,0,2
559,990025,24,16,4996945,84916,1,6,1,1
560,117670,16,3,4962989,59968,0,9,0,2
561,1275785,21,45,5060390,24978,2,2,1,1
562,16338,25,2,5055514,77810,0,0,0,2
563,390295,14,42,4938008,35267,1,5,1,1
564,1455451,43,17,5013336,38631,0,7,0,2
565,1011231,10,29,5044455,64118,1,3,1,1
566,63224,3,9,4917923,36983,1,2,0,1
567,129144,41,9,4992793,67352,1,6,1,2
568,1275411,37,1,5029735,32466,1,5,0,2
