,Industry,Region,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Known Vulnerabilities,External Advisor,Risk
47,TELECOM,NORTH AMERICA,791055,6,3,5044628,2,YES,MEDIUM
48,ECOMMERCE,NORTH AMERICA,1082666,33,31,5012180,4,NO,LOW
49,AUTOMOTIVE,EUROPE,1071805,27,47,5014157,4,YES,MEDIUM
50,TELECOM,AFRICA,247467,4,35,4991227,2,NO,LOW
51,FINANCIAL SERVICES,SOUTH AMERICA,1272660,49,22,4968272,0,YES,HIGH
52,AUTOMOTIVE,AFRICA,516250,49,20,5017715,9,NO,LOW
53,EDUCATION,NORTH AMERICA,952742,18,23,5052977,4,NO,LOW
54,AUTOMOTIVE,NORTH AMERICA,815880,39,7,5006682,9,YES,HIGH
55,OTHER,EUROPE,447341,14,5,5042207,6,NO,LOW
56,TELECOM,SOUTH AMERICA,1150775,35,37,4993341,6,YES,HIGH
57,OTHER,SOUTH AMERICA,941865,29,7,4998898,5,NO,LOW
58,ECOMMERCE,ASIA,522483,5,38,5003696,3,NO,LOW
59,EDUCATION,ASIA,1053279,41,24,4967634,3,NO,LOW
60,OTHER,NORTH AMERICA,774285,18,17,4926243,7,YES,HIGH
61,FINANCIAL SERVICES,SOUTH AMERICA,1294192,41,48,5046030,3,NO,MEDIUM
62,AUTOMOTIVE,NORTH AMERICA,386221,26,39,4967697,3,YES,MEDIUM
63,TELECOM,NORTH AMERICA,239304,1,46,5056528,3,YES,MEDIUM
64,FINANCIAL SERVICES,SOUTH AMERICA,671717,20,35,4989674,3,YES,HIGH
65,HEALTHCARE,ASIA,363934,0,2,5012688,0,NO,LOW
66,TELECOM,AFRICA,894717,30,15,5059274,0,YES,LOW
67,EDUCATION,EUROPE,454432,7,36,5012488,9,YES,MEDIUM
68,ECOMMERCE,NORTH AMERICA,96124,44,24,5007810,1,YES,HIGH
69,AUTOMOTIVE,EUROPE,440576,40,26,4921868,1,YES,MEDIUM
70,AUTOMOTIVE,EUROPE,1108542,46,47,5023834,7,YES,MEDIUM
71,FINANCIAL SERVICES,EUROPE,925762,7,43,5077430,7,YES,HIGH
72,EDUCATION,EUROPE,538913,28,28,5008608,4,YES,MEDIUM
73,OTHER,EUROPE,591644,47,10,4944003,3,YES,HIGH
74,HEALTHCARE,AFRICA,513849,26,14,4870754,4,YES,MEDIUM
75,EDUCATION,SOUTH AMERICA,1281868,5,27,4990476,0,YES,LOW
76,AUTOMOTIVE,ASIA,503486,2,29,4987652,0,NO,LOW
77,TELECOM,SOUTH AMERICA,793582,25,19,5032441,6,YES,HIGH
78,TELECOM,SOUTH AMERICA,57589,0,10,5018704,3,NO,MEDIUM
79,HEALTHCARE,ASIA,698241,20,48,5024183,7,NO,LOW
80,AUTOMOTIVE,NORTH AMERICA,1132843,41,14,4969961,8,YES,HIGH
81,EDUCATION,AFRICA,494667,17,6,4938954,0,NO,LOW
82,HEALTHCARE,EUROPE,85197,41,17,4981024,4,YES,HIGH
83,HEALTHCARE,EUROPE,442285,25,35,5018516,3,YES,HIGH
84,HEALTHCARE,ASIA,1285673,17,40,4835993,8,NO,LOW
85,EDUCATION,EUROPE,296963,3,20,5038120,1,NO,LOW
86,OTHER,SOUTH AMERICA,266768,6,32,5081707,0,NO,LOW
87,EDUCATION,AFRICA,1454176,16,13,5053471,9,NO,LOW
88,EDUCATION,SOUTH AMERICA,43254,9,22,4972982,0,YES,MEDIUM
89,HEALTHCARE,EUROPE,1048858,4,26,4999601,1,NO,LOW
90,EDUCATION,EUROPE,1337746,29,26,5019612,7,YES,MEDIUM
91,HEALTHCARE,EUROPE,450631,6,48,5065981,1,NO,LOW
92,AUTOMOTIVE,AFRICA,222695,44,4,5048403,8,NO,LOW
93,AUTOMOTIVE,ASIA,34573,30,33,5005568,6,YES,MEDIUM
94,FINANCIAL SERVICES,ASIA,1377721,21,10,4951128,1,NO,LOW
95,FINANCIAL SERVICES,SOUTH AMERICA,346822,2,19,5102120,5,NO,MEDIUM
96,TELECOM,EUROPE,779602,10,16,5021545,0,YES,MEDIUM
97,TELECOM,SOUTH AMERICA,1032928,45,2,5005634,0,YES,MEDIUM
98,AUTOMOTIVE,AFRICA,580558,14,10,5164680,7,NO,LOW
99,ECOMMERCE,AFRICA,1271144,32,22,5017173,3,NO,LOW
100,FINANCIAL SERVICES,SOUTH AMERICA,1435954,16,42,5026840,9,YES,HIGH
101,OTHER,NORTH AMERICA,740770,38,13,4955754,2,NO,LOW
102,ECOMMERCE,SOUTH AMERICA,503922,24,5,4987842,0,NO,LOW
103,EDUCATION,AFRICA,1084041,14,20,5042481,4,NO,LOW
104,ECOMMERCE,SOUTH AMERICA,1479301,48,45,5011126,9,YES,HIGH
105,TELECOM,NORTH AMERICA,627056,26,5,4994739,3,NO,MEDIUM
106,EDUCATION,EUROPE,427860,4,40,4984315,8,YES,MEDIUM
107,OTHER,SOUTH AMERICA,621935,19,35,4955807,8,YES,HIGH
108,EDUCATION,EUROPE,525338,28,0,5035355,0,NO,LOW
109,AUTOMOTIVE,AFRICA,971005,29,23,4982503,1,NO,LOW
110,TELECOM,EUROPE,700211,22,17,4977703,8,YES,HIGH
111,ECOMMERCE,NORTH AMERICA,1281554,15,34,4970385,8,NO,LOW
112,AUTOMOTIVE,ASIA,571529,38,30,5044566,2,NO,LOW
113,OTHER,NORTH AMERICA,456123,35,24,4980410,1,NO,LOW
114,TELECOM,ASIA,1286446,14,42,4971775,2,NO,LOW
115,EDUCATION,NORTH AMERICA,784611,23,3,5078146,6,NO,LOW
116,FINANCIAL SERVICES,ASIA,784420,43,49,5016766,4,NO,MEDIUM
117,AUTOMOTIVE,NORTH AMERICA,457067,16,32,4985398,1,YES,MEDIUM
118,TELECOM,SOUTH AMERICA,1039399,0,11,5065512,7,YES,MEDIUM
119,FINANCIAL SERVICES,SOUTH AMERICA,1405475,16,47,5062780,8,NO,MEDIUM
120,FINANCIAL SERVICES,ASIA,744354,42,35,5008812,0,NO,LOW
121,EDUCATION,EUROPE,207302,34,44,5031526,2,YES,MEDIUM
122,OTHER,SOUTH AMERICA,57511,36,30,4987742,0,YES,HIGH
123,OTHER,AFRICA,40018,14,21,4973670,5,YES,MEDIUM
124,AUTOMOTIVE,EUROPE,493243,29,13,5022493,6,NO,LOW
125,AUTOMOTIVE,SOUTH AMERICA,1361754,45,30,5065721,5,NO,LOW
126,OTHER,AFRICA,1201025,1,31,4945769,1,NO,LOW
127,TELECOM,NORTH AMERICA,1288405,3,38,5045827,3,YES,MEDIUM
128,FINANCIAL SERVICES,EUROPE,344158,45,4,4975620,5,NO,MEDIUM
129,TELECOM,ASIA,1487889,48,47,5064053,3,NO,LOW
130,OTHER,EUROPE,263487,49,19,4953981,2,YES,HIGH
131,EDUCATION,ASIA,403235,0,34,4988179,0,NO,LOW
132,EDUCATION,EUROPE,623487,17,15,4997624,8,NO,LOW
133,FINANCIAL SERVICES,NORTH AMERICA,231026,31,7,5020151,3,NO,MEDIUM
134,OTHER,EUROPE,1207551,37,40,5049962,8,YES,HIGH
135,OTHER,AFRICA,363789,0,1,4948238,4,NO,LOW
136,FINANCIAL SERVICES,EUROPE,686754,3,33,5049652,3,YES,MEDIUM
137,AUTOMOTIVE,AFRICA,527856,31,5,5017650,8,YES,MEDIUM
138,EDUCATION,ASIA,1438165,30,38,5010491,2,NO,LOW
139,EDUCATION,ASIA,173600,32,45,5033524,9,YES,HIGH
140,OTHER,ASIA,1358111,28,28,5006862,5,YES,MEDIUM
141,EDUCATION,NORTH AMERICA,1155657,4,24,4968436,0,NO,LOW
142,TELECOM,NORTH AMERICA,1478262,34,35,4980792,8,NO,MEDIUM
143,ECOMMERCE,NORTH AMERICA,980472,37,18,4952003,6,YES,HIGH
144,FINANCIAL SERVICES,SOUTH AMERICA,343193,34,49,4977010,4,NO,MEDIUM
145,ECOMMERCE,AFRICA,1183114,40,46,5022094,9,YES,MEDIUM
146,ECOMMERCE,EUROPE,130985,36,37,5089781,2,YES,HIGH
147,EDUCATION,EUROPE,823505,18,29,4930715,6,YES,MEDIUM
148,FINANCIAL SERVICES,AFRICA,546234,24,45,4889812,8,NO,MEDIUM
149,AUTOMOTIVE,ASIA,980760,42,37,5047035,1,NO,LOW
150,OTHER,EUROPE,1258524,13,14,4948339,9,YES,MEDIUM
151,FINANCIAL SERVICES,AFRICA,1242019,36,21,4984989,2,YES,MEDIUM
152,TELECOM,ASIA,400430,11,44,5065801,2,YES,MEDIUM
153,TELECOM,EUROPE,794365,42,24,4989401,0,YES,MEDIUM
154,ECOMMERCE,NORTH AMERICA,1502988,49,38,5014081,6,YES,HIGH
155,ECOMMERCE,ASIA,974424,45,40,4920651,4,NO,LOW
156,AUTOMOTIVE,AFRICA,982799,15,41,5102288,4,YES,LOW
157,HEALTHCARE,ASIA,586401,18,1,4996220,7,YES,MEDIUM
158,OTHER,AFRICA,1278734,36,15,5034543,6,YES,MEDIUM
159,EDUCATION,SOUTH AMERICA,1409293,26,39,4899177,8,YES,MEDIUM
160,EDUCATION,ASIA,365570,21,48,5042339,5,YES,MEDIUM
161,AUTOMOTIVE,NORTH AMERICA,1145700,22,10,5000403,2,YES,MEDIUM
162,ECOMMERCE,NORTH AMERICA,847686,25,22,4961046,4,YES,MEDIUM
163,EDUCATION,ASIA,1277316,35,48,5019316,9,YES,MEDIUM
164,AUTOMOTIVE,AFRICA,897816,46,44,5002668,6,NO,LOW
165,TELECOM,NORTH AMERICA,467484,45,31,4968191,7,NO,HIGH
166,HEALTHCARE,NORTH AMERICA,1456242,49,10,5017944,9,YES,HIGH
167,OTHER,SOUTH AMERICA,308341,1,17,5129366,5,NO,LOW
168,EDUCATION,SOUTH AMERICA,8757,6,20,5016910,4,YES,MEDIUM
169,AUTOMOTIVE,SOUTH AMERICA,1032790,45,22,4985768,2,NO,LOW
170,ECOMMERCE,ASIA,625957,25,49,4894619,8,YES,MEDIUM
171,TELECOM,EUROPE,910360,11,6,4898493,2,YES,MEDIUM
172,AUTOMOTIVE,EUROPE,1396423,37,43,4901715,3,YES,MEDIUM
173,OTHER,EUROPE,923928,36,29,4993239,5,YES,MEDIUM
174,FINANCIAL SERVICES,EUROPE,1029530,10,37,5025829,2,NO,LOW
175,AUTOMOTIVE,SOUTH AMERICA,613433,18,15,4933176,2,YES,MEDIUM
176,FINANCIAL SERVICES,AFRICA,182627,1,10,4928033,2,NO,LOW
177,OTHER,AFRICA,46945,28,15,4991761,6,NO,LOW
178,EDUCATION,ASIA,513696,4,42,5029809,8,YES,MEDIUM
179,EDUCATION,AFRICA,1352355,4,42,5050210,3,YES,LOW
180,FINANCIAL SERVICES,EUROPE,1212784,27,15,5021263,5,YES,HIGH
181,ECOMMERCE,ASIA,641461,26,25,5070618,0,NO,LOW
182,OTHER,AFRICA,541957,6,23,4970287,3,YES,LOW
183,TELECOM,AFRICA,1383505,13,21,5007459,8,NO,LOW
184,OTHER,AFRICA,979396,30,24,5026574,0,YES,LOW
185,OTHER,ASIA,864463,49,45,4959635,4,YES,MEDIUM
186,AUTOMOTIVE,NORTH AMERICA,1251476,23,44,4964022,6,NO,LOW
187,EDUCATION,SOUTH AMERICA,637263,4,31,4971828,6,YES,MEDIUM
188,AUTOMOTIVE,EUROPE,1290024,32,25,5058876,2,YES,LOW
189,AUTOMOTIVE,NORTH AMERICA,745383,25,38,5100249,8,YES,HIGH
190,OTHER,SOUTH AMERICA,581503,41,10,4898971,5,NO,MEDIUM
191,EDUCATION,SOUTH AMERICA,832112,34,37,4940073,2,NO,LOW
192,ECOMMERCE,NORTH AMERICA,560982,39,21,4978600,9,NO,MEDIUM
193,FINANCIAL SERVICES,SOUTH AMERICA,27546,46,30,5105261,3,NO,HIGH
194,OTHER,SOUTH AMERICA,807614,11,48,4988595,5,YES,MEDIUM
195,HEALTHCARE,EUROPE,181179,30,45,4925178,5,NO,MEDIUM
196,TELECOM,SOUTH AMERICA,1190627,2,45,5102110,5,NO,LOW
197,OTHER,NORTH AMERICA,236670,16,26,5013852,4,YES,HIGH
198,FINANCIAL SERVICES,EUROPE,979517,15,49,5044463,0,NO,LOW
199,ECOMMERCE,AFRICA,304866,5,0,4920285,7,YES,MEDIUM
200,OTHER,AFRICA,1080301,3,5,4975516,9,NO,LOW
201,FINANCIAL SERVICES,AFRICA,1108535,4,30,5017965,2,YES,LOW
202,ECOMMERCE,EUROPE,1333501,35,14,5036643,7,YES,MEDIUM
203,AUTOMOTIVE,NORTH AMERICA,1333318,45,37,4928421,8,NO,LOW
204,ECOMMERCE,EUROPE,1112404,25,34,4900410,4,YES,MEDIUM
205,HEALTHCARE,ASIA,135848,29,27,5049231,6,YES,HIGH
206,EDUCATION,NORTH AMERICA,1077078,49,29,4933672,2,NO,LOW
207,OTHER,ASIA,1145947,39,4,5010158,6,NO,LOW
208,HEALTHCARE,ASIA,1321894,21,29,5012998,8,YES,MEDIUM
209,FINANCIAL SERVICES,ASIA,1371653,0,9,5018467,3,YES,LOW
210,TELECOM,AFRICA,1469040,5,12,4963761,3,NO,LOW
211,OTHER,NORTH AMERICA,1438998,8,23,4991954,9,NO,LOW
212,AUTOMOTIVE,EUROPE,945082,41,6,5024457,0,NO,LOW
213,OTHER,NORTH AMERICA,1379929,45,40,5053369,7,NO,MEDIUM
214,OTHER,EUROPE,218771,27,7,5023890,2,YES,MEDIUM
215,FINANCIAL SERVICES,EUROPE,281121,21,33,5085319,6,YES,HIGH
216,TELECOM,ASIA,1184075,4,8,4926253,5,YES,MEDIUM
217,OTHER,AFRICA,186825,44,33,4951998,1,YES,MEDIUM
218,AUTOMOTIVE,NORTH AMERICA,833394,19,10,5084953,0,NO,LOW
219,FINANCIAL SERVICES,AFRICA,1309939,35,39,4996291,7,NO,LOW
220,OTHER,ASIA,1421592,4,37,5008968,4,YES,LOW
221,HEALTHCARE,AFRICA,659940,25,17,4933498,2,NO,LOW
222,EDUCATION,NORTH AMERICA,205379,31,0,5006634,4,NO,MEDIUM
223,TELECOM,NORTH AMERICA,927049,17,29,5082836,9,NO,MEDIUM
224,FINANCIAL SERVICES,ASIA,557575,34,30,4962248,2,NO,MEDIUM
225,FINANCIAL SERVICES,AFRICA,1268189,23,17,4965912,5,YES,MEDIUM
226,ECOMMERCE,ASIA,1381535,33,40,4976840,0,NO,LOW
227,EDUCATION,NORTH AMERICA,1499552,10,14,5013260,3,YES,LOW
228,EDUCATION,ASIA,1229474,4,30,5046826,2,NO,LOW
229,FINANCIAL SERVICES,ASIA,439275,14,0,5069632,0,YES,MEDIUM
230,TELECOM,SOUTH AMERICA,1457808,24,41,5035713,4,NO,LOW
231,AUTOMOTIVE,ASIA,1238754,34,38,5036875,3,NO,LOW
232,EDUCATION,ASIA,368186,1,4,4990924,7,YES,MEDIUM
233,OTHER,EUROPE,213756,44,15,5023998,1,NO,MEDIUM
234,AUTOMOTIVE,NORTH AMERICA,1346416,31,40,4923136,3,NO,LOW
235,ECOMMERCE,ASIA,923841,1,31,4981738,6,YES,MEDIUM
236,ECOMMERCE,AFRICA,383028,13,4,5034081,8,NO,LOW
237,EDUCATION,EUROPE,28351,22,43,5085286,0,NO,LOW
238,ECOMMERCE,ASIA,1125201,34,42,4884992,9,YES,MEDIUM
239,ECOMMERCE,NORTH AMERICA,187146,15,3,5040278,3,NO,MEDIUM
240,ECOMMERCE,SOUTH AMERICA,675672,3,39,5016552,1,NO,LOW
241,OTHER,ASIA,1382433,12,9,5036680,1,NO,LOW
242,OTHER,NORTH AMERICA,1000947,24,9,4931136,0,YES,MEDIUM
243,AUTOMOTIVE,ASIA,347094,30,11,4974792,9,YES,MEDIUM
244,AUTOMOTIVE,NORTH AMERICA,378740,36,28,5095803,8,NO,MEDIUM
245,ECOMMERCE,SOUTH AMERICA,464061,18,27,5000552,2,NO,LOW
246,AUTOMOTIVE,EUROPE,525696,2,23,4863954,2,NO,LOW
247,HEALTHCARE,EUROPE,576127,0,5,5012552,3,YES,MEDIUM
248,HEALTHCARE,SOUTH AMERICA,562637,24,18,4988292,1,NO,MEDIUM
249,FINANCIAL SERVICES,EUROPE,1122297,13,17,5007733,6,YES,MEDIUM
250,HEALTHCARE,EUROPE,974834,32,12,5028684,5,YES,HIGH
251,OTHER,ASIA,512374,31,38,4959725,5,YES,MEDIUM
252,FINANCIAL SERVICES,AFRICA,819610,1,32,4991253,2,NO,LOW
253,ECOMMERCE,EUROPE,627753,0,6,5039993,1,NO,LOW
254,EDUCATION,SOUTH AMERICA,343799,23,18,4983455,1,NO,LOW
255,ECOMMERCE,EUROPE,721150,31,28,5044803,9,YES,HIGH
256,OTHER,SOUTH AMERICA,878895,38,11,5000464,3,YES,MEDIUM
257,ECOMMERCE,ASIA,147286,26,45,5057718,7,YES,HIGH
258,OTHER,EUROPE,693167,20,26,5037644,7,YES,MEDIUM
259,EDUCATION,NORTH AMERICA,701339,19,35,4932449,4,NO,LOW
260,ECOMMERCE,AFRICA,1390687,23,8,5006045,4,NO,LOW
261,ECOMMERCE,ASIA,91967,16,6,4927605,0,YES,MEDIUM
262,ECOMMERCE,ASIA,1256268,36,20,4972504,1,YES,MEDIUM
263,AUTOMOTIVE,SOUTH AMERICA,180532,14,36,5042317,0,NO,LOW
264,ECOMMERCE,ASIA,1438395,5,11,4868501,6,YES,LOW
265,EDUCATION,NORTH AMERICA,580939,48,15,4977339,2,NO,MEDIUM
266,EDUCATION,EUROPE,380637,31,31,4916335,2,YES,MEDIUM
267,HEALTHCARE,AFRICA,571704,2,4,5012763,6,YES,MEDIUM
268,FINANCIAL SERVICES,SOUTH AMERICA,1331217,45,40,5023951,7,NO,MEDIUM
269,HEALTHCARE,ASIA,511659,35,22,5037859,8,YES,HIGH
270,HEALTHCARE,SOUTH AMERICA,83291,10,0,4981144,8,NO,MEDIUM
271,EDUCATION,NORTH AMERICA,13798,5,14,4990892,5,YES,MEDIUM
272,ECOMMERCE,SOUTH AMERICA,23418,12,31,4969913,5,NO,MEDIUM
273,TELECOM,SOUTH AMERICA,677692,8,27,4938746,8,YES,HIGH
274,TELECOM,SOUTH AMERICA,707768,44,2,4892484,9,YES,HIGH
275,AUTOMOTIVE,NORTH AMERICA,1159265,0,0,4993669,4,YES,LOW
276,OTHER,SOUTH AMERICA,221612,16,35,5039521,1,YES,MEDIUM
277,FINANCIAL SERVICES,SOUTH AMERICA,854686,3,22,5061798,7,NO,MEDIUM
278,HEALTHCARE,AFRICA,1047393,37,3,4987416,9,YES,MEDIUM
279,ECOMMERCE,SOUTH AMERICA,3025,15,9,5013192,5,YES,HIGH
280,FINANCIAL SERVICES,ASIA,692197,21,15,5006552,2,YES,MEDIUM
281,FINANCIAL SERVICES,NORTH AMERICA,994110,14,44,4986443,9,YES,HIGH
282,HEALTHCARE,SOUTH AMERICA,1363003,18,12,4970330,4,NO,LOW
283,TELECOM,AFRICA,820250,30,14,4956739,9,YES,MEDIUM
284,ECOMMERCE,ASIA,545297,17,41,4936284,4,NO,LOW
285,EDUCATION,NORTH AMERICA,866538,31,41,5000559,1,YES,MEDIUM
286,HEALTHCARE,NORTH AMERICA,1337992,47,49,4867119,3,NO,MEDIUM
287,TELECOM,AFRICA,1244747,19,47,5015127,9,YES,MEDIUM
288,AUTOMOTIVE,EUROPE,1358005,26,1,5008788,0,YES,LOW
289,ECOMMERCE,AFRICA,1285888,1,1,5000509,0,NO,LOW
290,HEALTHCARE,NORTH AMERICA,815728,26,30,5025721,5,YES,HIGH
291,OTHER,NORTH AMERICA,1292905,8,24,5030194,2,NO,LOW
292,OTHER,EUROPE,1451315,4,13,5039901,2,YES,LOW
293,EDUCATION,AFRICA,1083559,1,41,5022194,5,NO,LOW
294,TELECOM,NORTH AMERICA,249697,14,28,4925351,1,YES,MEDIUM
295,TELECOM,SOUTH AMERICA,220017,16,37,4976236,1,NO,MEDIUM
296,HEALTHCARE,SOUTH AMERICA,1143031,2,23,4953515,7,YES,MEDIUM
297,FINANCIAL SERVICES,ASIA,873854,31,38,5064508,2,NO,LOW
298,AUTOMOTIVE,ASIA,757307,45,14,5001152,6,YES,MEDIUM
299,HEALTHCARE,EUROPE,519198,12,37,5031876,7,NO,MEDIUM
300,ECOMMERCE,EUROPE,1268638,14,28,4970937,2,NO,LOW
301,HEALTHCARE,SOUTH AMERICA,244324,29,32,5040601,5,YES,HIGH
302,OTHER,AFRICA,1298218,26,22,4878584,9,YES,MEDIUM
303,TELECOM,EUROPE,1343290,48,35,5012028,7,YES,HIGH
304,FINANCIAL SERVICES,ASIA,1137365,22,37,4934622,3,YES,MEDIUM
305,EDUCATION,SOUTH AMERICA,801019,46,27,4985063,8,YES,HIGH
306,OTHER,NORTH AMERICA,115445,26,43,4965664,2,YES,HIGH
307,EDUCATION,ASIA,666791,13,29,4993156,8,NO,LOW
308,OTHER,AFRICA,175988,26,9,5056949,0,NO,LOW
309,AUTOMOTIVE,ASIA,844342,20,22,4980175,2,YES,LOW
310,EDUCATION,ASIA,210984,10,10,5057429,9,NO,LOW
311,FINANCIAL SERVICES,NORTH AMERICA,1156639,42,23,4983544,4,NO,MEDIUM
312,FINANCIAL SERVICES,SOUTH AMERICA,808859,3,44,5010797,3,NO,LOW
313,HEALTHCARE,SOUTH AMERICA,198988,2,1,5030273,9,NO,MEDIUM
314,AUTOMOTIVE,ASIA,1446437,22,30,5050394,1,YES,LOW
315,TELECOM,NORTH AMERICA,705087,29,27,4932776,0,NO,LOW
316,EDUCATION,SOUTH AMERICA,977107,5,18,5031713,8,YES,MEDIUM
317,AUTOMOTIVE,ASIA,1357785,25,24,4939478,8,YES,MEDIUM
318,TELECOM,NORTH AMERICA,1334283,28,30,4961595,2,YES,MEDIUM
319,AUTOMOTIVE,NORTH AMERICA,505064,35,8,5003017,7,YES,HIGH
320,OTHER,SOUTH AMERICA,477785,21,4,4987248,3,NO,LOW
321,HEALTHCARE,EUROPE,1422754,40,47,5060361,7,NO,MEDIUM
322,EDUCATION,EUROPE,261824,16,37,4927921,1,NO,LOW
323,AUTOMOTIVE,EUROPE,1360094,10,40,5011240,5,NO,LOW
324,AUTOMOTIVE,NORTH AMERICA,1188264,10,41,4917360,9,YES,MEDIUM
325,HEALTHCARE,EUROPE,2933,3,25,4996561,3,YES,MEDIUM
326,TELECOM,EUROPE,379641,31,9,5016902,5,NO,MEDIUM
327,TELECOM,AFRICA,196898,25,21,5056889,8,NO,MEDIUM
328,FINANCIAL SERVICES,ASIA,1150125,17,23,4999903,1,NO,LOW
329,AUTOMOTIVE,ASIA,799150,9,44,5126380,9,NO,LOW
330,ECOMMERCE,ASIA,1201250,14,9,5106371,3,NO,LOW
331,TELECOM,SOUTH AMERICA,528235,31,28,5047697,3,NO,MEDIUM
332,AUTOMOTIVE,NORTH AMERICA,455213,26,30,4965554,9,YES,HIGH
333,FINANCIAL SERVICES,NORTH AMERICA,1429050,28,12,5033026,7,NO,MEDIUM
334,FINANCIAL SERVICES,ASIA,240699,1,45,4964125,6,NO,LOW
335,EDUCATION,SOUTH AMERICA,551453,9,37,5054755,8,YES,MEDIUM
336,AUTOMOTIVE,EUROPE,710489,21,3,4974548,9,NO,LOW
337,HEALTHCARE,NORTH AMERICA,1407893,45,30,4969727,5,NO,MEDIUM
338,ECOMMERCE,AFRICA,489188,31,49,4981964,7,NO,LOW
339,FINANCIAL SERVICES,AFRICA,916038,29,13,5006179,3,NO,LOW
340,FINANCIAL SERVICES,ASIA,451809,12,7,5083724,1,YES,MEDIUM
341,HEALTHCARE,AFRICA,1193138,15,30,4930192,0,NO,LOW
342,OTHER,NORTH AMERICA,419360,11,34,4957397,6,NO,MEDIUM
343,EDUCATION,SOUTH AMERICA,1144759,32,15,4992457,7,YES,MEDIUM
344,HEALTHCARE,AFRICA,936716,49,18,4897462,1,YES,MEDIUM
345,HEALTHCARE,SOUTH AMERICA,1003332,37,38,5035317,0,NO,LOW
346,OTHER,NORTH AMERICA,342088,42,16,5002020,0,YES,HIGH
